name,company_name,pack_size,price
Artemax Plus,Star,Pack Size: 60ml,Rs 158
Artemax Plus,Star,Pack Size: 2 x 8's,Rs 106
Artemax Ds,Star,Pack Size: 1 x 8's,Rs 212
Artemef,Panacea,Pack Size: 2x8's,Rs 144
Artemef,Panacea,Pack Size: 1x8's,Rs 238
Artemef Ds,Panacea,Pack Size: 1 x 4's,Rs 198
Artemef DS,Panacea,Pack Size: 1 x 6's,Rs 297
Artemet,Pulse,Pack Size: 2 x 8's,Rs 144
Artemet,Pulse,Pack Size: 1 x 8's,Rs 238
Artemex L Ds,Schazoo Pharmaceuticals,Pack Size: 1 x 8's,Rs 241
Artemose Extra,Friends,Pack Size: 1 x 4's,Rs 198
Artemose Forte,Friends,Pack Size: 1x8's,Rs 238
Artemose,Friends,Pack Size: 1 x 16's,Rs 288
Artepearl,Pearl,Pack Size: 60ml,Rs 162
Artepearl,Pearl,Pack Size: 1x16's,Rs 266
Artepearl,Pearl,Pack Size: 1x8's,Rs 234
Arther Forte,Focus & Rulz,Pack Size: 1x4's,Rs 198
Arther,Focus & Rulz,Pack Size: 60ml,Rs 158
Arther Ds,Focus & Rulz,Pack Size: 30ml,Rs 126
Arther Ds,Focus & Rulz,Pack Size: 60ml,Rs 270
Arther,Focus & Rulz,Pack Size: 2x8's,Rs 119
Arther Ds,Focus & Rulz,Pack Size: 1 x 8's,Rs 238
Arti,Nexus,Pack Size: 60ml,Rs 162
Arti,Nexus,Pack Size: 2x8's,Rs 145
Arti Ds,Nexus,Pack Size: 1 x 8's,Rs 238
Arti Forte,Nexus,Pack Size: 1 x 6's,Rs 293
Artequine,Platinum,Pack Size: 1x8's,Rs 71
Artequine,Platinum,Pack Size: 16 Sachet,Rs 35
Aspirin,Amros,Pack Size: 1x1000's,Rs 117
Aspirin,Ardin,Pack Size: 1x1000's,Rs 164
Aspirin,Geofman,Pack Size: 1x1000's,Rs 165
Aspirin,Ideal,Pack Size: 1x1000's,Rs 270
Aspirin,Irza,Pack Size: 1x1000's,Rs 225
Aspirin,Irza,Pack Size: 10x20's,Rs 18
Aspirin,Jawa,Pack Size: 1x1000's,Rs 102
Aspirin,LCPW,Pack Size: 1x1000's,Rs 141
Aspirin,LCPW,Pack Size: 25x10's,Rs 5
Aspirin,Lisko,Pack Size: 1x1000's,Rs 139
Aspirin,Nawab sons,Pack Size: 1x1000's,Rs 122
Aspirin,Xenon,Pack Size: 1x1000's,Rs 113
Aspirin,Euro Pharma,Pack Size: 1x600's,Rs 270
Acasia,Nexpharm,Pack Size: 1x6's,Rs 135
Acasia,Nexpharm,Pack Size: 22.5ml,Rs 180
Acim,Fynk,Pack Size: 1x10's,Rs 230
Acim,Fynk,Pack Size: 1x6's,Rs 138
Akzith,Akson,Pack Size: 1x10's,Rs 230
Albocin,Albro,Pack Size: 1x10's,Rs 230
Alide,Pharmix,Pack Size: 1x10's,Rs 230
Alide,Pharmix,Pack Size: 1x3's,Rs 113
Alide,Pharmix,Pack Size: 15ml,Rs 132
Aptimac,L A Kurative,Pack Size: 1x10's,Rs 230
Austa-Z,Bloom Pharma,Pack Size: 1x6's,Rs 135
Axalina,Alina,Pack Size: 15ml,Rs 149
Azal,Jaens,Pack Size: 1x10's,Rs 189
Azaltic,L A Kurative,Pack Size: 1x6's,Rs 135
Azelide,Regent,Pack Size: 15ml,Rs 153
Azelide,Regent,Pack Size: 25ml,Rs 252
Azelide,Regent,Pack Size: 1x6's,Rs 144
Azibac,Mcolson,Pack Size: 1x10's,Rs 230
Azibac,Mcolson,Pack Size: 15ml,Rs 149
Azicap,Cherwel,Pack Size: 1x6's,Rs 108
Azidose,Shaheen,Pack Size: 1x6's,Rs 138
Azidose,Shaheen,Pack Size: 15ml,Rs 149
Azigood,Goodman,Pack Size: 1x10's,Rs 230
Azilite,Webros,Pack Size: 1x10's,Rs 230
Azilite,Webros,Pack Size: 1x6's,Rs 248
Azilite,Webros,Pack Size: 15ml,Rs 149
Azilite,Webros,Pack Size: 1x10's,Rs 230
Azimik,Biocare,Pack Size: 1x10's,Rs 230
Azimycin,Mediceena,Pack Size: 15ml,Rs 122
Azimycin,Mediceena,Pack Size: 1x10's,Rs 187
Azineu,Neutro,Pack Size: 15ml,Rs 149
Azineu,Neutro,Pack Size: 1x10's,Rs 168
Aziotic,Everest,Pack Size: 1x10's,Rs 230
Azirol,Xemberg,Pack Size: 1x6's,Rs 140
Azirom,Macquins,Pack Size: 15ml,Rs 144
Azirom,Macquins,Pack Size: 30ml,Rs 144
Azirom,Macquins,Pack Size: 1x6's,Rs 153
Aziromycin,Nawab Labs,Pack Size: 1x10's,Rs 245
Aziromycin,Nawab Labs,Pack Size: 15ml,Rs 149
Azisia,Ambrosia,Pack Size: 1x10's,Rs 221
Azit,Raazee,Pack Size: 1x6's,Rs 108
Azit,Raazee,Pack Size: 15ml,Rs 108
Azitab,Cherwel,Pack Size: 1x10's,Rs 210
Azitab,Cherwel,Pack Size: 1x6's,Rs 135
Azitek,Hygeia,Pack Size: 1x10's,Rs 225
Azitek,Hygeia,Pack Size: 1x6's,Rs 135
Azitral,Nova Med,Pack Size: 1x10's,Rs 230
Azitral,Nova Med,Pack Size: 15ml,Rs 149
Azixun,Hisun,Pack Size: 1x10's,Rs 230
Azizen,Medizan,Pack Size: 1x10's,Rs 230
Azizen,Medizan,Pack Size: 1x6's,Rs 138
Azizox,Alliance,Pack Size: 1x6's,Rs 135
Azo,Ethical Laboratories,Pack Size: 1x6's,Rs 156
Azo,Ethical Laboratories,Pack Size: 15ml,Rs 156
Azobit,Wns Field,Pack Size: 1x10's,Rs 214
Azobit,Wns Field,Pack Size: 1x6's,Rs 135
Azobrain,ACE,Pack Size: 15ml,Rs 144
Azobrain,ACE,Pack Size: 1x6's,Rs 135
Azocam,Le Mendoza,Pack Size: 1x3's,Rs 112
Azocam,Le Mendoza,Pack Size: 15ml,Rs 135
Azocure,Orta,Pack Size: 1x6's,Rs 230
Azoheim,Pakheim,Pack Size: 1x6's,Rs 135
Azolib,Libra,Pack Size: 1x6's,Rs 158
Azolib,Libra,Pack Size: 15ml,Rs 126
Azom,Bio Pharma,Pack Size: 1x10's,Rs 230
Azomexin,Paramount,Pack Size: 1x10's,Rs 230
Azomexin,Paramount,Pack Size: 1x6's,Rs 135
Azomexin,Paramount,Pack Size: 15ml,Rs 149
Azomexin,Paramount,Pack Size: 1x6's,Rs 248
Azomin,EG Pharma,Pack Size: 1x10's,Rs 230
Azomycin,Pulse,Pack Size: 1x10's,Rs 230
Acetin,Genome Pharma,Pack Size: 3x10's,Rs 174
Acisor,Shrooq,Pack Size: 3x10's,Rs 393
Acitrelex,Ambrosia,Pack Size: 3x10's,Rs 393
Acne-Lene,Valor,Pack Size: 45gm,Rs 333
Acne-Lene,Valor,Pack Size: 45gm,Rs 648
Acne Pearl Tropical,Pearl,Pack Size: 15gm,Rs 126
Aroleen,Hygeia,Pack Size: 15gm,Rs 126
Adefo,Shrooq,Pack Size: 3x10's,Rs 330
Adeowin,Orta,Pack Size: 3x10's,"Rs 1,350"
Adgen,Gene-Tech,Pack Size: 3x10's,"Rs 1,530"
Adrowin,Wns Field,Pack Size: 3x10's,"Rs 1,800"
Aika,Bosch,Pack Size: 5 Ampx1ml,Rs 23
Amicin,Star,Pack Size: 1 vialx2ml,Rs 135
Amifate,Caraway,Pack Size: 1 vialx2ml,Rs 113
Amikamed,ACE,Pack Size: 1 Vial,Rs 144
Amikaneu,Neutro,Pack Size: 1 vialx2ml,Rs 113
Amikarex,Rex,Pack Size: 1 vialx2ml,Rs 113
Amikaye,High-Q,Pack Size: 1 Vialx2ml,Rs 331
Aminocin,Macquins,Pack Size: 5 Vialx2ml,Rs 158
Aminocin,Macquins,Pack Size: 1 Vialx2ml,Rs 139
Amiwise,Wise Pharma,Pack Size: 1 Vialx2ml,Rs 113
Amizin,Akson,Pack Size: 2ml,Rs 113
Amkeen,Drugs Inn,Pack Size: 2ml,Rs 98
Amkeen,Drugs Inn,Pack Size: 2ml,Rs 299
Anfotericina FADA,Medinet,Pack Size: 1 Vial,Rs 675
Alergo,Pharmix,Pack Size: 1x30's,Rs 104
Allermine,Isis,Pack Size: 1x1000's,Rs 135
Augmentin Inj 1.2g 1Vial,GlaxoSmithKline,Pack Size: 1x10's vials,Rs 162
Anferon,CCL,Pack Size: 1 Pre Filled Syringe,Rs 810
Anferon,CCL,Pack Size: 1 Vial,Rs 540
Accure,Dermagen,Pack Size: 1x30's,"Rs 1,914"
Acnewin,Wns Field,Pack Size: 1x5's,Rs 164
Acnewin,Wns Field,Pack Size: 3x10's,Rs 554
Acno,Paramount,Pack Size: 1x10's,Rs 329
Acno,Paramount,Pack Size: 1x5's,Rs 164
Acno,Paramount,Pack Size: 1x10's,Rs 547
Acno,Paramount,Pack Size: 1x30's,"Rs 1,665"
Acnoren,Mediceena,Pack Size: 1x10's,Rs 329
Acnoren,Mediceena,Pack Size: 1x30's,"Rs 1,665"
Aknefin,Wise Pharma,Pack Size: 3x10's,Rs 555
Arynoin,Mass-PH Health,Pack Size: 3x10's,Rs 450
Atcon,Wisdom,Pack Size: 1x4's,Rs 270
Auspogen,Global-Vision,Pack Size: 1 Pre Filled Syringex1ml,"Rs 2,074"
A-Flox,Laderly,Pack Size: 6x4's,Rs 32
A-Flox,Laderly,Pack Size: 5 Vial,Rs 45
A-Flox,Laderly,Pack Size: 5 Vial,Rs 69
Alfumet,Wilshire,Pack Size: 1x1's,Rs 171
Anaf,Vega,Pack Size: 1x10's,Rs 150
Anaf,Vega,Pack Size: 3x10's,Rs 50
Ansaid,Pfizer,Pack Size: 6 x 5's,Rs 41
Ambrodic,Ambrosia,Pack Size: 15gm,Rs 131
Amfic,Amros,Pack Size: 15gm,Rs 108
Aria,Highnoon,Pack Size: 3x10's,Rs 41
Asmofen,Medicaids,Pack Size: 60ml,Rs 106
Asmofen,Medicaids,Pack Size: 30s,Rs 52
Aculac,English Pharma,Pack Size: 120ml,Rs 128
Al-Culose,Macquins,Pack Size: 120ml,Rs 162
Alogen,Alina,Pack Size: 120ml,Rs 128
Accion,Envoy,Pack Size: 2x7s,Rs 81
Aksoton,Akson,Pack Size: 10s,Rs 135
Alberta,Tagma,Pack Size: 2x7s,Rs 63
Allest,Wise Pharma,Pack Size: 14s,Rs 185
Anso,Shaigan,Pack Size: 14s,Rs 185
Anzole,Shawan,Pack Size: 2x7s,Rs 93
Arcozol,PPP,Pack Size: 10s,Rs 162
Aksolox,Akson,Pack Size: 1 Vialx100ml,Rs 180
Aksolox,Akson,Pack Size: 10s,Rs 99
Aksolox,Akson,Pack Size: 10s,Rs 180
Aksolox,Akson,Pack Size: 10s,Rs 450
Alboflox,Albro,Pack Size: 10s,Rs 225
Alboflox,Albro,Pack Size: 10s,Rs 234
Aligant,Envoy,Pack Size: 10s,Rs 99
Aligant,Envoy,Pack Size: 10s,Rs 162
Alixin,Alina,Pack Size: 10s,Rs 104
Alixin,Alina,Pack Size: 10s,Rs 162
Alovic,Alliance,Pack Size: 10s,Rs 198
Alovic,Alliance,Pack Size: 10s,Rs 360
Anlev,Crystolite Pharma,Pack Size: 10s,Rs 261
Anton,Jinnah Pharma,Pack Size: 10s,Rs 131
Anton,Jinnah Pharma,Pack Size: 10s,Rs 220
Atcoflox,Atco,Pack Size: 10s,Rs 208
Awarax,Usawa,Pack Size: 10s,Rs 117
Awarax,Usawa,Pack Size: 10s,Rs 212
Axolox,Qintar Pharma,Pack Size: 10s,Rs 144
Axolox,Qintar Pharma,Pack Size: 10s,Rs 234
Alfalor,Wisdom,Pack Size: 10s,Rs 108
Allorat,Polyfine,Pack Size: 10s,Rs 100
Alor,Alina,Pack Size: 10s,Rs 124
Antial,Sami,Pack Size: 10s,Rs 135
Armer,Goodman,Pack Size: 2x8s,Rs 144
Artecap,Ottoman,Pack Size: 2x8s,Rs 144
Artecxin,Highnoon,Pack Size: 60ml,Rs 162
Artefrost,Hamaz,Pack Size: 16s,Rs 288
Artem Plus,Hilton,Pack Size: 30ml,Rs 230
Artem DS Plus,Hilton,Pack Size: 1x4's,Rs 198
Androcur,Bayer,Pack Size: 5x10,Rs 522
Abdol,Sapient,Pack Size: 1x14,Rs 130
Acezole,TG  Pharma,Pack Size: 1x14,Rs 130
Acezole,TG  Pharma,Pack Size: 1x14,Rs 225
Alpazol,Medicaids,Pack Size: 1x14,Rs 169
Amop,Alliance,Pack Size: 1x14,Rs 130
Anmol,Roryan Pharma,Pack Size: 2x7,Rs 65
Anmol,Roryan Pharma,Pack Size: 2x7,Rs 113
Anzatax,Atco,Pack Size: 1 vial,"Rs 20,250"
Actrapid Penfill Cartridges,Novo Nordisk,Pack Size: 5 Cartridges x 3ml,Rs 327
Apidra,Sanofi,Pack Size: 5 pre filled syringe x 3ml,Rs 840
Acelar,SiTech,Pack Size: 1x60 's,Rs 186
Acelar,SiTech,Pack Size: 1x100 's,Rs 207
Aksopril,Akson,Pack Size: 2x10 's,Rs 130
Accupril,Pfizer,Pack Size: 2x14's,Rs 316
Accupril,Pfizer,Pack Size: 2x14's,Rs 632
Accupril,Pfizer,Pack Size: 2x14's,Rs 221
Adytum,Macter,Pack Size: 2x14's,Rs 140
Adytum,Macter,Pack Size: 2x14's,Rs 198
Adytum,Macter,Pack Size: 2x14's,Rs 250
Aquasin,Siza,Pack Size: 50 Ampx2ml,Rs 149
Atridol,Global-Vision,Pack Size: 25x20's,Rs 7
Atrolate,Rex,Pack Size: 50x10's,Rs 4
Ardizol,Ardin,Pack Size: 1000's,Rs 188
Ardizol,Ardin,Pack Size: 500's,Rs 99
Apcom,Karachi Chemical,Pack Size: 100x10 's,Rs 3
A-Pnamic,Pulse,Pack Size: 600 's,Rs 324
A-Pnamic,Pulse,Pack Size: 100 's,Rs 120
Amic,Libra,Pack Size: 1x200's,Rs 351
Amnic,Jawa,Pack Size: 1000 's,Rs 464
Amnic,Jawa,Pack Size: 60x10 's,Rs 6
Anapen Forte,Pharmix,Pack Size: 20x5's,Rs 6
Amadol Extra,Harmann,Pack Size: 1 x 500 's,Rs 360
Amidol Extra,Bloom Pharma,Pack Size: 10 x 10 's,Rs 10
Amidol Extra,Bloom Pharma,Pack Size: 1 x 200 's,Rs 197
Amsipol,English Pharma,Pack Size: 20x10 's,Rs 7
Aridol,Aries,Pack Size: 10x10 's,Rs 16
Apecirin,Alfalah Pharma,Pack Size: 1x1000 's,Rs 162
Apecirin,Alfalah Pharma,Pack Size: 1x200 's,Rs 109
Ascamol,Eros,Pack Size: 1x1000 's,Rs 230
Aspirin,Ideal,Pack Size: Jar x 1000's,Rs 315
Aspirin,Ideal,Pack Size: Jarx1000 's,Rs 122
Aspirin Compd,Nawab sons,Pack Size: 1 x 1000 's,Rs 155
Amtalidin,English Pharma,Pack Size: 1x200 's,Rs 108
Advil,Aries,Pack Size: 20x10 's,Rs 9
Amadol,Harmann,Pack Size: 10 Ampx2ml,Rs 11
Amole,Libra,Pack Size: 20x10's,Rs 9
Anapyrin,Specific,Pack Size: 1x1000 's,Rs 239
Asmacaine,E-Lite,Pack Size: 100 Ampx2ml,Rs 90
Ab-clor,Alliance,Pack Size: 12's,Rs 194
Ab-clor,Alliance,Pack Size: 12's,Rs 342
Ab-clor,Alliance,Pack Size: 60ml,Rs 130
Ab-clor,Alliance,Pack Size: 60ml,Rs 230
Acef,English Pharma,Pack Size: 12's,Rs 210
Acef,English Pharma,Pack Size: 12's,Rs 369
Acef,English Pharma,Pack Size: 60ml,Rs 132
Acef,English Pharma,Pack Size: 60ml,Rs 230
Aclor,Miracle,Pack Size: 12's,Rs 210
Aclor,Miracle,Pack Size: 12's,Rs 338
Aclor,Miracle,Pack Size: 60ml,Rs 122
Aclor,Miracle,Pack Size: 60ml,Rs 221
Ag-clor,Saydon,Pack Size: 2x6's,Rs 117
Ag-clor,Saydon,Pack Size: 2x6's,Rs 210
Ag-clor,Saydon,Pack Size: 60ml,Rs 138
Ag-clor,Saydon,Pack Size: 60ml,Rs 243
Ambiclor,Paramount,Pack Size: 12's,Rs 210
Ambiclor,Paramount,Pack Size: 12's,Rs 369
Ambiclor,Paramount,Pack Size: 60ml,Rs 132
Ambiclor,Paramount,Pack Size: 60ml,Rs 230
Ambit,Pakheim,Pack Size: 12's,Rs 253
Ambit,Pakheim,Pack Size: 12's,Rs 492
Ambit,Pakheim,Pack Size: 60ml,Rs 183
Ambit,Pakheim,Pack Size: 60ml,Rs 319
Aveclor,Aventek,Pack Size: 12's,Rs 210
Aveclor,Aventek,Pack Size: 12's,Rs 369
Aveclor,Aventek,Pack Size: 60ml,Rs 131
Aveclor,Aventek,Pack Size: 60ml,Rs 230
Abidox,Alliance,Pack Size: 12's,Rs 162
Abidox,Alliance,Pack Size: 60ml,Rs 141
Actacef,kaizen,Pack Size: 12's,Rs 162
Adoxil,Mega,Pack Size: 12's,Rs 162
Adoxil,Mega,Pack Size: 60ml,Rs 171
Ag-drox,Saydon,Pack Size: 2x6's,Rs 113
Ag-drox,Saydon,Pack Size: 60ml,Rs 103
Ag-drox,Saydon,Pack Size: 60ml,Rs 167
Ag-drox,Saydon,Pack Size: 10's,Rs 360
Albadrox,Albro,Pack Size: 12's,Rs 162
Albadrox,Albro,Pack Size: 60ml,Rs 141
avexil,Aventek,Pack Size: 10's,Rs 225
avexil,Aventek,Pack Size: 12's,Rs 162
avexil,Aventek,Pack Size: 60ml,Rs 141
Afipime,Agror,Pack Size: 1 Vial,Rs 414
Afipime,Agror,Pack Size: 1 Vial,Rs 248
Aqpine,Shawan,Pack Size: 1 Vial,Rs 540
Aqpine,Shawan,Pack Size: 1 Vial,Rs 270
Arpim,Ardin,Pack Size: 1 Vial,Rs 414
Arpim,Ardin,Pack Size: 1 Vial,Rs 248
Avepime,Aventek,Pack Size: 1 Vial,Rs 414
Avepime,Aventek,Pack Size: 1 Vial,Rs 248
Axepime,EG Pharma,Pack Size: 1 Vial,Rs 414
Axepime,EG Pharma,Pack Size: 1 Vial,Rs 248
Abifix,Alliance,Pack Size: 5's,Rs 270
Abifix,Alliance,Pack Size: 30ml,Rs 108
Abifix,Alliance,Pack Size: 60ml,Rs 205
Aerocef,Raazee,Pack Size: 30ml,Rs 107
Aerocef,Raazee,Pack Size: 60ml,Rs 152
Aerocef,Raazee,Pack Size: 60ml,Rs 135
Aerocef,Raazee,Pack Size: 30ml,Rs 152
Afixim,Usawa,Pack Size: 5's,Rs 293
Afixim,Usawa,Pack Size: 30ml,Rs 140
Ag-fix,Saydon,Pack Size: 5's,Rs 293
Ag-fix,Saydon,Pack Size: 30ml,Rs 162
Ag-fix,Saydon,Pack Size: 30ml,Rs 216
Agrofix,Agror,Pack Size: 5's,Rs 293
Agrofix,Agror,Pack Size: 30ml,Rs 135
Agrofix,Agror,Pack Size: 30ml,Rs 203
Aksoxime,Akson,Pack Size: 5's,Rs 248
Aksoxime,Akson,Pack Size: 30ml,Rs 122
Aksoxime,Akson,Pack Size: 30ml,Rs 176
Akurate,Envoy,Pack Size: 5's,Rs 252
Akurate,Envoy,Pack Size: 30ml,Rs 113
Akurate,Envoy,Pack Size: 30ml,Rs 189
Albrocef,Albro,Pack Size: 5's,Rs 293
Albrocef,Albro,Pack Size: 30ml,Rs 162
Amber,Rakahposhi,Pack Size: 5's,Rs 270
Amber,Rakahposhi,Pack Size: 30ml,Rs 135
Amber,Rakahposhi,Pack Size: 60ml,Rs 225
Arco-fix,PPP,Pack Size: 5's,Rs 293
Arco-fix,PPP,Pack Size: 30ml,Rs 188
Avecol,Aventek,Pack Size: 5's,Rs 135
Avecol,Aventek,Pack Size: 5's,Rs 293
Avecol,Aventek,Pack Size: 30ml,Rs 126
Avecol,Aventek,Pack Size: 30ml,Rs 153
Aricef,Aries,Pack Size: 1 Vial,Rs 225
Aricef,Aries,Pack Size: 1 Vial,Rs 135
Actum,Stand Pharm,Pack Size: 1 Vial,Rs 225
Actum,Stand Pharm,Pack Size: 1 Vial,Rs 315
Avesulzone,Aventek,Pack Size: 1 Vial,Rs 225
Adwotex,Bloom Pharma,Pack Size: 1 Vial,Rs 144
Adwotex,Bloom Pharma,Pack Size: 1 Vial,Rs 99
Afran,Gillman,Pack Size: 1 Vial,Rs 144
Afran,Gillman,Pack Size: 1 Vial,Rs 99
Albaxim,Albro,Pack Size: 1 Vial,Rs 144
Albaxim,Albro,Pack Size: 1 Vial,Rs 99
Algixim,Epharm,Pack Size: 1 Vial,Rs 135
Avetek,Aventek,Pack Size: 1 Vial,Rs 144
Avetek,Aventek,Pack Size: 1 Vial,Rs 99
Awabrod,Usawa,Pack Size: 1 Vial,Rs 144
Awabrod,Usawa,Pack Size: 1 Vial,Rs 99
Averom,Aventek,Pack Size: 1 Vial,Rs 198
Averom,Aventek,Pack Size: 1 Vial,Rs 401
Apodox,Alliance,Pack Size: 50ml,Rs 180
Apodox,Alliance,Pack Size: 10's,Rs 270
Avedoxime,Aventek,Pack Size: 50ml,Rs 180
Avetaz,Aventek,Pack Size: 1 Vial,Rs 248
Avetaz,Aventek,Pack Size: 1 Vial,Rs 130
Agrocef,Agror,Pack Size: 1 Vial,Rs 144
Agrocef,Agror,Pack Size: 1 Vial,Rs 234
Albaxon,Albro,Pack Size: 1 Vial,Rs 332
Albaxon,Albro,Pack Size: 1 Vial,Rs 104
Albaxon,Albro,Pack Size: 1 Vial,Rs 176
Alexon,Biorex,Pack Size: 1 Vial,Rs 289
Alexon,Biorex,Pack Size: 1 Vial,Rs 91
Alexon,Biorex,Pack Size: 1 Vial,Rs 153
Amizone,Global-Vision,Pack Size: 1 Vial,Rs 289
Amizone,Global-Vision,Pack Size: 1 Vial,Rs 91
Antrix,Fynk,Pack Size: 1 Vial,Rs 289
Antrix,Fynk,Pack Size: 1 Vial,Rs 91
Antrix,Fynk,Pack Size: 1 Vial,Rs 153
Arizon,Aries,Pack Size: 1 Vial,Rs 289
Arizon,Aries,Pack Size: 1 Vial,Rs 91
Arizon,Aries,Pack Size: 1 Vial,Rs 153
Armasure,Medisure,Pack Size: 1 Vial,Rs 176
Armasure,Medisure,Pack Size: 1 Vial,Rs 108
Arophin,Ardin,Pack Size: 1 Vial,Rs 289
Arophin,Ardin,Pack Size: 1 Vial,Rs 91
Arophin,Ardin,Pack Size: 1 Vial,Rs 153
Avetron,Aventek,Pack Size: 1 Vial,Rs 257
Avetron,Aventek,Pack Size: 1 Vial,Rs 131
Awatrox,Usawa,Pack Size: 1 Vial,Rs 289
Awatrox,Usawa,Pack Size: 1 Vial,Rs 91
Awatrox,Usawa,Pack Size: 1 Vial,Rs 153
Al-Oxime,Macquins,Pack Size: 1 Vial,Rs 153
Apotex,Nova Med,Pack Size: 50ml,Rs 197
Avefro,Aventek,Pack Size: 1 Vial,Rs 158
Avefro,Aventek,Pack Size: 50ml,Rs 171
Abirex,Alliance,Pack Size: 12's,Rs 124
Ag-Cin,Saydon,Pack Size: 2x6's,Rs 63
Al-Zolin,Macquins,Pack Size: 1 Vial,Rs 99
Abidine,Alliance,Pack Size: 12's,Rs 153
Abidine,Alliance,Pack Size: 60ml,Rs 104
Ada Cef,Adamjee Pharmaceuticals,Pack Size: 3x4's,Rs 57
Aficef,Sayyed,Pack Size: 12's,Rs 153
Ag-Ceph,Saydon,Pack Size: 2x6's,Rs 56
Ag-Ceph,Saydon,Pack Size: 2x6's,Rs 106
Ag-Ceph,Saydon,Pack Size: 60ml,Rs 130
Aksosef,Akson,Pack Size: 2x6's,Rs 78
Aksosef,Akson,Pack Size: 60ml,Rs 104
Alosef,Aventek,Pack Size: 12's,Rs 141
Anasef,Mass-PH Health,Pack Size: 10x10's,Rs 76
Anasef,Mass-PH Health,Pack Size: 1x12's,Rs 93
Anasef,Mass-PH Health,Pack Size: 10x10's,Rs 151
Anasef,Mass-PH Health,Pack Size: 1x12's,Rs 183
Anasef,Mass-PH Health,Pack Size: 60ml,Rs 101
Antimic,Danas,Pack Size: 2x6's,Rs 71
Avadine,Pharmacare,Pack Size: 12's,Rs 141
Avadine,Pharmacare,Pack Size: 60ml,Rs 99
Acelo,Maple,Pack Size: 3x10's,Rs 239
Acenim,Nimrall,Pack Size: 5 Ampules,Rs 26
Acenim,Nimrall,Pack Size: 3x10's,Rs 62
Alkeris,Sami,Pack Size: 2x10's,Rs 72
Alkeris-SR,Sami,Pack Size: 10,Rs 91
Artiflex,Stand Pharm,Pack Size: 20's,Rs 212
Artrodar,Highnoon,Pack Size: 3x10's,Rs 298
Anti-Pain,Medicraft,Pack Size: 2x10's,Rs 54
Antiflam,Wilshire,Pack Size: 3x10's,Rs 75
Ardi-K,English Pharma,Pack Size: 20's,Rs 114
Ardi-K,English Pharma,Pack Size: 30's,Rs 114
Ariflam,Aries,Pack Size: 18x4's,Rs 16
Ariflam,Aries,Pack Size: 20's,Rs 108
Artimov-K,Barrett,Pack Size: 10's,Rs 91
Artimov-K,Barrett,Pack Size: 20's,Rs 74
Artinil-K,Global-Vision,Pack Size: 2x10's,Rs 56
Artinil-K,Global-Vision,Pack Size: 2x10's,Rs 64
Artinil-K,Global-Vision,Pack Size: 1x20's,Rs 142
A-fenac Plus,Laderly,Pack Size: 5 Ampx2ml,Rs 29
Articure,Global-Vision,Pack Size: 10 Ampx2ml,Rs 22
Aerotec,PharmaFive,Pack Size: 20,Rs 125
Aerotec,PharmaFive,Pack Size: 20's,Rs 207
Artho,Shaigan,Pack Size: 20's,Rs 215
Artisaf,Friends,Pack Size: 2x10's,Rs 90
Accred,Albro,Pack Size: 200's,Rs 621
Alfafenac,Alfalah Pharma,Pack Size: 3x10's,Rs 60
Anaren,Sharex,Pack Size: 25 Ampx3ml,Rs 6
Anaren,Sharex,Pack Size: 10x10's,Rs 18
Anaren,Sharex,Pack Size: 30x10's,Rs 17
Angised 0.5mg,GlaxoSmithKline,Pack Size: 30s,Rs 11
Ascard,Atco,Pack Size: 3x10's,Rs 25
Ascard 300mg,Atco,Pack Size: 3 x 10's,Rs 17
Adicos Syrup,Zafa,Pack Size: 120 ml,Rs 59
Acefyl Syrup (respiratory Treatment) 125ml,Nabi Qasim,Pack Size: 125ml,Rs 70
Atenblock,Everest,Pack Size: 20s,Rs 100
Atenolol,Batala Pharma,Pack Size: 20s,Rs 92
Atromin,Noa Hemis,Pack Size: 20s,Rs 80
Atelor,Pharmadic,Pack Size: 20s,Rs 71
Atenblock,Everest,Pack Size: 20s,Rs 37
Ateno-Heart,Friends,Pack Size: 20s,Rs 40
Ateno-Heart,Friends,Pack Size: 20s,Rs 37
Atenocard,Mediate,Pack Size: 20s,Rs 37
Atenolol,Batala Pharma,Pack Size: 14s,Rs 0
Atenolol,Batala Pharma,Pack Size: 20s,Rs 0
ATL,Mega,Pack Size: 20s,Rs 50
ATL,Mega,Pack Size: 20s,Rs 35
Atlin,Bosch,Pack Size: 20s,Rs 29
Atlin,Bosch,Pack Size: 20s,Rs 35
ATN,Flow Pharma,Pack Size: 20s,Rs 59
Atomin,Semos,Pack Size: 20s,Rs 51
Atromin,Noa Hemis,Pack Size: 20s,Rs 40
Actim,Sami,Pack Size: 2x10's,Rs 30
Aptizid,Aptcure,Pack Size: 2x10s,Rs 46
Amarit,Reko,Pack Size: 2x10s,Rs 28
Amarit,Reko,Pack Size: 2x10s,Rs 45
Ardiphage,Ardin,Pack Size: 5x10s,Rs 10
Adolan,Siza,Pack Size: 1x10's,Rs 90
Adolan,Siza,Pack Size: 1x10's,Rs 99
Anacaine,Akson,Pack Size: 50 Ampx2 ml,Rs 1
Abaglin,Polyfine,Pack Size: 10,Rs 60
Abapen,Bosch,Pack Size: 10,Rs 50
Azanid,Usawa,Pack Size: 10,Rs 83
Arilax,E-Lite,Pack Size: 1 Amp,Rs 33
Amlortan,Genome Pharma,Pack Size: 1,Rs 34
