name,company_name,pack_size,price
Amodip-V,Mass-PH Health,Pack Size: 2x7's,Rs 259
Amodip-V,Mass-PH Health,Pack Size: 2x7's,Rs 187
Amstan,Scilife,Pack Size: 28,Rs 479
Amstan,Scilife,Pack Size: 28,Rs 347
Angiotan H,Efroze,Pack Size: 14,Rs 302
Advant,Getz Pharma,Pack Size: 2 x 7's,Rs 236
Advant,Getz Pharma,Pack Size: 2 x 7s,Rs 180
Advantec,Getz Pharma,Pack Size: 4 x 7's,Rs 236
Aprovel,Sanofi,Pack Size: 28,Rs 599
Aprovel,Sanofi,Pack Size: 2x14s,"Rs 1,677"
A2A,Wilson's,Pack Size: 10,Rs 243
A2A,Wilson's,Pack Size: 20,Rs 259
Adenuric,S.J. & G. Fazul Ellahie,Pack Size: 20,Rs 293
Adronil,Searle,Pack Size: 1x1's,Rs 676
Atconate,Atco,Pack Size: 1,Rs 594
Aldomet,OBS,Pack Size: 10x10's,Rs 110
Azotek,Saffron,Pack Size: 6,Rs 214
Azotek,Saffron,Pack Size: 1 x 6's,Rs 393
Azopt,Novartis,Pack Size: 5ml,"Rs 1,440"
Afoxin,AGP,Pack Size: 1x10's,Rs 216
Afoxin,AGP,Pack Size: 1x10's,Rs 396
Acireg,Barrett,Pack Size: 2 x 7's,Rs 100
Acireg,Barrett,Pack Size: 14,Rs 225
Arysa,Helix Pharma,Pack Size: 2x7's,Rs 104
Arysa,Helix Pharma,Pack Size: 2x7's,Rs 145
Axesom,Highnoon,Pack Size: 2x7's,Rs 110
Axesom,Highnoon,Pack Size: 2x7's,Rs 187
Axid Neo,AGP,Pack Size: 2x7's,Rs 112
Axid Neo,AGP,Pack Size: 2x7's,Rs 187
Acnesafe,Epla,Pack Size: 30ml,Rs 203
Amoxi-Clav,Novartis,Pack Size: 2x3s,Rs 83
Augmentin,GlaxoSmithKline,Pack Size: 35ml,Rs 180
Augmentin,GlaxoSmithKline,Pack Size: 1x6's,Rs 226
Acsolve,Atco,Pack Size: 10gm,Rs 158
Acsolve,Atco,Pack Size: 30ml,Rs 196
Amclav Plus,Getz Pharma,Pack Size: 70 ml,Rs 200
Amclav,Getz Pharma,Pack Size: 60 ml,Rs 99
Amclav-DS,Getz Pharma,Pack Size: 60 ml,Rs 153
Amclav,Getz Pharma,Pack Size: 1 x 6's,Rs 251
Amclav,Getz Pharma,Pack Size: 1 x 6's,Rs 115
Amclav,Getz Pharma,Pack Size: 1 x 6's,Rs 169
Augmentin,GlaxoSmithKline,Pack Size: 20ml,Rs 164
Augmentin DS 312.50mg,GlaxoSmithKline,Pack Size: 90ml,Rs 486
Augmentin BD,GlaxoSmithKline,Pack Size: 70ml,Rs 340
Augmentin BD 1000mg,GlaxoSmithKline,Pack Size: 6,Rs 305
Augmentin,GlaxoSmithKline,Pack Size: 1 x 6's,Rs 235
Amgydex,Kobec,Pack Size: 3.5gm,Rs 216
Atmos,Scotman,Pack Size: 1x10's,Rs 148
Aloc,Bosch,Pack Size: 1x10's,Rs 165
Aloc,Bosch,Pack Size: 1x10's,Rs 180
Alofex,Derma Techno,Pack Size: 1x10's,Rs 157
Atiza,Asian Continental,Pack Size: 3x10's,Rs 81
Avil,Sanofi,Pack Size: 50 Ampx2ml,Rs 45
Avil,Sanofi,Pack Size: 5x50's,Rs 56
Amdaquin,Zafa,Pack Size: 20x10's,Rs 19
A-Fantrine,Atco,Pack Size: 10 Ampx1ml,Rs 41
Artem,Hilton,Pack Size: 10 Amp,Rs 91
Artem,Hilton,Pack Size: 6 Amp,Rs 191
Artemex,Schazoo Pharmaceuticals,Pack Size: 6 Amp,Rs 95
Arteza,Zafa,Pack Size: 6 Ampx1ml,Rs 39
A-Fantrine,Atco,Pack Size: 60ml,Rs 174
A-Fantrine,Atco,Pack Size: 2x8's,Rs 122
A-Fantrine Ds,Atco,Pack Size: 1 x 8's,Rs 334
A-Fantrine BD,Atco,Pack Size: 1 x 6's,Rs 382
Arceva,Sami,Pack Size: 30ml,Rs 137
Arceva,Sami,Pack Size: 60ml,Rs 229
Arceva Ds,Sami,Pack Size: 30ml,Rs 229
Arceva,Sami,Pack Size: 2x8's,Rs 248
Arceva,Sami,Pack Size: 1x8's,Rs 372
Artelum,Wood Wards,Pack Size: 1 x 4's,Rs 429
Artem Plus,Hilton,Pack Size: 30ml,Rs 182
Artem Plus 60ml,Hilton,Pack Size: 60ml,Rs 295
Artem Plus,Hilton,Pack Size: 2 x 8's,Rs 278
Artem DS Plus,Hilton,Pack Size: 1x8's,Rs 410
Artemex L Forte,Schazoo Pharmaceuticals,Pack Size: 1 x 6's,Rs 448
Artheget,Getz Pharma,Pack Size: 1 x 6's,Rs 465
Artheget,Getz Pharma,Pack Size: 30 ml,Rs 119
Artheget,Getz Pharma,Pack Size: 2 x 8's,Rs 113
Artheget-DS,Getz Pharma,Pack Size: 1 x 8's,Rs 372
Artedoxin,Efroze,Pack Size: 1x9's,Rs 95
Artesul,Zafa,Pack Size: 1x9's,Rs 116
Artepip,Helix Pharma,Pack Size: 1x8's,Rs 317
Avanep,Atco,Pack Size: 5ml,Rs 450
Athofix,Zaka Healthcare,Pack Size: 1x6's,Rs 211
Athofix,Zaka Healthcare,Pack Size: 15ml,Rs 198
Atizor,Hirani's Pharma,Pack Size: 15ml,Rs 144
Atizor,Hirani's Pharma,Pack Size: 1 x 6's,Rs 218
Atizor,Hirani's Pharma,Pack Size: 1 x 6's,Rs 399
Azibect,Bryon,Pack Size: 1x6's,Rs 185
Azibect,Bryon,Pack Size: 1x3's,Rs 156
Azibect,Bryon,Pack Size: 15ml,Rs 206
Azicure,Semos,Pack Size: 1x6's,Rs 173
Azicure,Semos,Pack Size: 1x6's,Rs 329
Azicure,Semos,Pack Size: 15ml,Rs 185
Azilis,Titlis Pharma,Pack Size: 1x10's,Rs 230
Azineu,Neutro,Pack Size: 1x6's,Rs 270
